angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14,angle15,angle16,angle17,angle18,angle19,angle20,angle21,angle22
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.7,-65.9,-32.9,113.7,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.6866211,-65.9,-32.9,113.6901655,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.6629337,-65.9,-32.9,113.6727294,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.62713,-65.9,-32.9,113.6463356,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.578513,-65.9,-32.9,113.6104403,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.5170005,-65.9,-32.9,113.5649501,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.4428221,-65.9,-32.9,113.5100003,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.3563467,-65.9,-32.9,113.4458293,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.2579927,-65.9,-32.9,113.3727127,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.1481861,-65.9,-32.9,113.2909326,65.9,32.9,0,0,0,0
0,-1.8,19.3,-34.5,-15.2,-1.8,0,1.8,-19.3,34.5,15.2,1.8,-113.0273426,-65.9,-32.9,113.2007644,65.9,32.9,0,0,0,0
