angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14,angle15,angle16,angle17,angle18,angle19,angle20,angle21,angle22
0.0, -1.81067, 19.2848, -34.5006, -15.2158, -1.81067, 0.0, 1.81067, -19.2848, 34.5006, 15.2158, 1.81067, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 19, -34, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 25, -40, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 35, -50, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 45, -60, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 55, -70, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 60, -78, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 50, -58, -10, -1.8, 0.0, 1.8, -15, 28, 17, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 40, -48, -5, -1.8, 0.0, 1.8, -5, 22, 19, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 35, -40, 0, -1.8, 0.0, 1.8, -5, 15, 22, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 34, -32, 0, -1.8, 0.0, 1.8, 8, 12, 22, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 34, -32, 0, -1.8, 0.0, 1.8, -18, 32, 18, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 34, -32, 0, -1.8, 0.0, 1.8, -38, 45, 16.5, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 34, -32, 0, -1.8, 0.0, 1.8, -50, 65, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 34, -32, 0, -1.8, 0.0, 1.8, -60, 78, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 29, -32, -6, -1.8, 0.0, 1.8, -40, 58, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 29, -33, -10, -1.8, 0.0, 1.8, -30, 40, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
0.0, -1.8, 19, -34, -15, -1.8, 0.0, 1.8, -19, 34, 15, 1.8, 0.0, -70.0, -15.0, 0.0, 70.0, 15.0, 0.0, 0.0, 0.0, 0.0
